,name,category,address,score,eval_cnt,review_cnt
175,돈스라,"돈까스,우동",(지번) 서초동 1363-25,3.0,4건,리뷰 17
176,쿠니라멘,일식,(지번) 양재동 12-10,4.4,5건,리뷰 24
177,파리바게뜨 양재역점,"제과,베이커리",(지번) 양재동 24,3.0,8건,리뷰 0
178,생생짬뽕,중화요리,(지번) 서초동 1357-32,3.3,3건,리뷰 16
179,꼬마부대찌개,"찌개,전골",(지번) 양재동 10-1,3.9,7건,리뷰 8
180,커피에스페란토,커피전문점,(지번) 도곡동 954-23,4.0,2건,리뷰 11
181,파리 서티세븐,카페,(지번) 서초동 1362-21,4.6,5건,리뷰 7
182,곰작골나주곰탕 양재점,곰탕,(지번) 양재동 1-11,3.0,1건,리뷰 3
183,서초육촌,"육류,고기",(지번) 서초동 1358-4,5.0,2건,리뷰 4
184,꼬대장코다리네,"해물,생선",(지번) 양재동 11-55,5.0,2건,리뷰 29
185,김가네순대국,순대,(지번) 도곡동 955-6,3.4,8건,리뷰 8
186,펀비어킹 양재역사거리점,"호프,요리주점",(지번) 도곡동 953-3,0.0,0건,리뷰 17
187,양재통닭,치킨,(지번) 양재동 11-17,4.0,7건,리뷰 0
188,그래도사랑해,"제과,베이커리",(지번) 서초동 1363-1,3.7,3건,리뷰 4
189,바나프레소 양재점,카페,(지번) 양재동 23,1.0,2건,리뷰 1
190,커피더호랑이,카페,(지번) 서초동 1357-42,3.6,5건,리뷰 5
191,던킨도너츠 양재역사점,도넛,(지번) 양재동,4.5,2건,리뷰 4
192,배스킨라빈스 양재역사점,아이스크림,(지번) 양재동,4.5,2건,리뷰 4
193,홍베이팡 양재역9번출구점,샌드위치,(지번) 양재동 24-1,0.0,0건,리뷰 3
194,양재타워,한식,(지번) 도곡동 949-3,0.0,0건,리뷰 0
195,옹아리벌교꼬막과찜마을 서초본사직영점,조개,(지번) 서초동 1364-42,2.7,3건,리뷰 7
196,오복집 서초점,"족발,보쌈",(지번) 서초동 1357-72,5.0,1건,리뷰 1
197,이디야커피 양재중앙점,커피전문점,(지번) 양재동 23,1.3,4건,리뷰 1
198,말죽거리옛날통닭 강남양재역점,치킨,(지번) 도곡동 957-11,1.0,1건,리뷰 4
199,달링스테이크 양재점,"스테이크,립",(지번) 서초동 1359-46,1.5,8건,리뷰 17
200,만복국수집 양재점,국수,(지번) 양재동 11-52,3.5,9건,리뷰 4
201,선릉역매운떡볶이 양재점,떡볶이,(지번) 양재동 11-87,2.6,5건,리뷰 12
202,BBQ 서초양재점,치킨,(지번) 도곡동 950-6,0.0,0건,리뷰 1
203,프레세페,와인바,(지번) 서초동 1361-8,4.5,8건,리뷰 12
204,스파게티스토리,이탈리안,(지번) 도곡동 959-13,3.6,8건,리뷰 12
205,하이면 양재역점,"돈까스,우동",(지번) 서초동 1366-9,2.3,15건,리뷰 14
206,동신참치 양재역직영점,회,(지번) 양재동 24,4.3,6건,리뷰 9
207,카페3,카페,(지번) 서초동 1366-13,3.0,5건,리뷰 16
208,춘자싸롱,"해물,생선",(지번) 양재동 11-83,5.0,2건,리뷰 4
209,이삭토스트 서울서초구청점,토스트,(지번) 서초동 1364-47,0.0,0건,리뷰 4
210,마린,실내포장마차,(지번) 도곡동 959-27,0.0,0건,리뷰 7
211,청정해참치 양재본점,참치회,(지번) 양재동 23,4.4,9건,리뷰 2
212,경성꽈배기 양재역점,간식,(지번) 도곡동 918-1,3.0,1건,리뷰 2
213,바다사랑생태찌개,"찌개,전골",(지번) 서초2동 1357-73,3.8,8건,리뷰 1
214,죠스떡볶이 양재점,떡볶이,(지번) 도곡동 902-2,4.0,2건,리뷰 0
215,꿍닭꿍닭,닭강정,(지번) 도곡동 924-10,4.0,2건,리뷰 20
216,종로김밥 양재점,분식,(지번) 서초동 1360,2.3,8건,리뷰 7
217,장수생고기숯불구이,"육류,고기",(지번) 서초동 1366-3,5.0,1건,리뷰 6
218,한솥도시락 양재스타클래스옆점,도시락,(지번) 도곡동 959-25,0.0,1건,리뷰 2
219,더카페신방,커피전문점,(지번) 서초동 1366-18,1.7,3건,리뷰 3
220,앤플로우커피,카페,(지번) 도곡동 959-14,3.8,4건,리뷰 7
221,죽이야기 강남양재역점,죽,(지번) 도곡동 957-11,4.0,2건,리뷰 4
222,빚은 양재점,"떡,한과",(지번) 양재동 11-149,3.0,2건,리뷰 12
223,던킨도너츠 양재역사2호점,도넛,(지번) 도곡동 958-2,0.0,0건,리뷰 1
224,선릉역 영이네추억의떡볶이,떡볶이,(지번) 도곡동 954,4.0,6건,리뷰 3
