name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS,link,new_category,walking_time
호남마을,"육류,고기",역삼동 829-13,3.9,41,98,37.4943071,127.03346850000001,1424.945187398669,59.3,https://place.map.kakao.com/13559752,고기,17.0
서초고깃간,"육류,고기",서초동 1718-6,4.8,20,4,37.492529299999994,127.00921909999998,1212.1232514188434,57.14,https://place.map.kakao.com/1712805156,고기,15.0
남도애찬,한식,역삼동 830-27,5.0,15,46,37.4940619,127.03180590000001,1293.801806019861,55.17,https://place.map.kakao.com/85570955,고기,16.0
연타발 강남역점,"곱창,막창",서초동 1317-19,3.9,30,53,37.498019899999996,127.0264033,1377.6445813677883,54.18,https://place.map.kakao.com/8000174,고기,17.0
서래갈매기 강남점,"육류,고기",역삼동 817-21,4.5,19,53,37.50009779999999,127.028377,1658.3164599502136,54.12,https://place.map.kakao.com/13313056,고기,20.0
차돌소풍 서초점,"육류,고기",서초동 1341-9,4.1,25,23,37.4885317,127.0300002,854.3103376130807,53.44,https://place.map.kakao.com/20376362,고기,10.0
한도니 강남역점,"육류,고기",역삼동 831-48,3.8,25,50,37.49426649999999,127.0307188,1238.2725265750487,50.11,https://place.map.kakao.com/20088694,고기,15.0
장위동유성집 강남점,"육류,고기",역삼동 831-3,4.4,14,115,37.4946558,127.0300658,1229.2539808097156,48.17,https://place.map.kakao.com/1608797896,고기,15.0
타잔갈비,갈비,역삼동 824-25,5.0,10,14,37.497514,127.0310602,1530.3251165237484,46.58,https://place.map.kakao.com/185810829,고기,18.0
항방양육관 교대2호점,양꼬치,서초동 1577-5,3.6,23,35,37.489028399999995,127.01391399999999,658.602510018881,46.22,https://place.map.kakao.com/11571823,고기,8.0
맛찬들왕소금구이 서울도곡점,"육류,고기",도곡동 945-4,4.2,14,13,37.488904299999994,127.0333527,1151.1592681671075,44.86,https://place.map.kakao.com/19899472,고기,14.0
됐소 강남점,"육류,고기",서초동 1330-15,4.3,11,129,37.4935841,127.02859369999999,1053.7792684715723,43.15,https://place.map.kakao.com/26573718,고기,13.0
돈블랑 서초교대역점,"육류,고기",서초동 1688-3,4.4,11,22,37.495762,127.01965630000001,1033.933205932084,43.07,https://place.map.kakao.com/629063628,고기,12.0
라무라쿠,"육류,고기",서초동 1364-25,4.6,10,7,37.4856526,127.0301867,845.5505081467596,42.61,https://place.map.kakao.com/27472613,고기,10.0
명랑회관 교대점,"육류,고기",서초동 1569-16,3.5,18,135,37.4914244,127.01306609999999,865.646371595156,42.42,https://place.map.kakao.com/1992706045,고기,10.0
신부자식당,"육류,고기",역삼동 816-4,3.5,18,116,37.4997792,127.02744129999999,1593.2902011923502,42.33,https://place.map.kakao.com/27463588,고기,19.0
고깃집열,"육류,고기",서초동 1330-14,3.8,13,109,37.49343020000001,127.0285142,1036.3445465294317,40.85,https://place.map.kakao.com/1464212890,고기,12.0
도마3,"육류,고기",서초동 1330-14,4.2,10,137,37.49343020000001,127.0285142,1036.3445465294317,40.69,https://place.map.kakao.com/1572666841,고기,12.0
통돼지네 강남점,"육류,고기",역삼동 831-34,4.2,10,63,37.4944642,127.0308757,1263.5402543790476,40.24,https://place.map.kakao.com/1161575093,고기,15.0
오우치,"육류,고기",서초동 1458-4,5.0,7,20,37.4841364,127.01324340000001,705.3666436747853,39.81,https://place.map.kakao.com/1112890726,고기,8.0
진대감 강남역 삼성타운점,"육류,고기",서초동 1330-13,4.1,10,79,37.4933158,127.02862649999999,1033.6278612966582,39.47,https://place.map.kakao.com/1332451453,고기,12.0
국고집,"육류,고기",도곡동 955-4,3.9,11,97,37.4859225,127.0359669,1351.828745581525,39.24,https://place.map.kakao.com/293690686,고기,16.0
일점사,"육류,고기",서초동 1568-2,3.5,15,18,37.49116110000001,127.0132629,833.757073035847,38.77,https://place.map.kakao.com/25782422,고기,10.0
곱창왕김형제,"곱창,막창",도곡동 953-1,3.9,10,49,37.4852042,127.0344078,1221.2577864847342,37.39,https://place.map.kakao.com/772858218,고기,15.0
송가옥,"육류,고기",서초동 1564-7,4.6,7,15,37.488541399999995,127.0128959,721.9900435432779,36.61,https://place.map.kakao.com/156282365,고기,9.0
해방촌HBC고깃집 남부터미널점,"육류,고기",서초동 1621-27,4.6,7,4,37.486045000000004,127.0158608,426.6970859261499,35.92,https://place.map.kakao.com/26847342,고기,5.0
세광양대창 강남점,"육류,고기",역삼동 830-38,4.7,6,45,37.4952916,127.03200490000002,1399.0867314252246,35.16,https://place.map.kakao.com/2021432189,고기,17.0
