,name,category,star,star_count,review,address,lat,lng
629,군선생 예술의전당점,"육류,고기",2.7,5건,0,서울 서초구 반포대로 38 와라빌딩 4층,37.4838948518183,127.011920818206
630,소공동뚝배기집 남부터미널본점,"찌개,전골",2.8,5건,0,서울 서초구 반포대로8길 5-10,37.4835643151568,127.012375060231
631,맥스생맥주전문점,"호프,요리주점",0.0,0건,0,서울 서초구 남부순환로325길 9,37.4817321410906,127.014511066108
632,예술다방,카페,0.0,0건,1,서울 서초구 반포대로10길 24,37.4837409180386,127.013160778805
633,카페525,카페,4.0,4건,1,서울 서초구 효령로52길 5,37.4839440321864,127.012917836855
634,서울남부터미널 구내식당,구내식당,0.0,0건,1,서울 서초구 효령로 292 2층,37.4835466074664,127.015110886678
635,남부식당,한식,0.0,0건,0,서울 서초구 반포대로10길 45,37.48417111057,127.014273308255
636,서초포차,실내포장마차,0.0,0건,0,서울 서초구 반포대로 12 1층,37.4818071951364,127.012960997921
637,참호도과자 남부터미널점,간식,5.0,1건,0,서울 서초구 효령로 292 122호,37.4835466074664,127.015110886678
638,델리뉴스 현대슈퍼빌점,카페,0.0,0건,0,서울 서초구 서초중앙로 15,37.4830108887405,127.015641614311
639,FLORAVELLO,카페,0.0,0건,1,서울 서초구 반포대로4길 62,37.4821455909279,127.016081700104
640,킹콩분식 남부터미널점,분식,0.0,0건,1,서울 서초구 효령로 262,37.4841569350922,127.012967283237
641,예술,"호프,요리주점",5.0,1건,1,서울 서초구 반포대로8길 5-6,37.4833822130797,127.012453383943
642,와사라 예당점,일식,0.0,0건,2,서울 서초구 반포대로10길 35 1층 104호,37.4842424493185,127.013690467291
643,라이브존,술집,0.0,0건,0,서울 서초구 남부순환로325길 9,37.4817321410906,127.014511066108
644,스위트가든,카페,0.0,0건,0,서울 서초구 효령로52길 12,37.4837440242743,127.012770704706
645,향촌식당,한식,0.0,0건,0,서울 서초구 남부순환로 2433-7,37.4822086453579,127.016200203433
646,아여수 서리풀점,한식,4.5,2건,0,서울 서초구 반포대로8길 11-10,37.4836882654257,127.012644401577
647,맥주와포차,술집,0.0,0건,0,서울 서초구 반포대로12길 6,37.4845985548496,127.011767498905
648,바다밥상온스테이지,일식집,5.0,2건,1,서울 서초구 효령로 264,37.4841813353084,127.01312230063
649,호로록국수,국수,1.0,1건,2,서울 서초구 효령로 292 남부터미널 1층 111-1호,37.4835466074664,127.015110886678
650,씨앤필코리아,음식점,0.0,0건,0,서울 서초구 서초중앙로 18,37.4840476212544,127.017348668302
651,블루비노,양식,3.0,1건,0,서울 서초구 효령로 260,37.4840424529593,127.012634511497
652,비앤제이,한식,0.0,0건,0,서울 서초구 반포대로4길 13,37.4820365251941,127.013556311813
653,서초 명가 버섯매운탕,음식점,0.0,0건,0,서울 서초구 남부순환로323길 59 1층,37.4835281631951,127.013398403673
654,명식품,한식,0.0,0건,0,서울 서초구 반포대로4길 58,37.4819531499502,127.015974701815
