name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,ZMS
오곡채 시골보쌈&오곡곤드레,한식,서초동 1343-7,3.3,4,8,37.487345399999995,127.0266459,536.2295609336652,19.17
서강쇠떡볶이 남부터미널점,떡볶이,서초동 1459-9,3.3,4,7,37.4838349,127.0126447,766.963096497434,19.1
무교동유정낙지 역삼점,"해물,생선",역삼동 826-37,1.9,10,29,37.495332299999994,127.03037250000001,1303.3870354971775,19.1
강남짬뽕,중화요리,서초동 1602-10,2.0,9,24,37.485087799999995,127.0158213,455.07098950225804,19.06
스윗심포니,"제과,베이커리",도곡동 959-21,3.3,4,6,37.4855581,127.0372527,1467.4934900785086,19.02
계몽돈까스,"돈까스,우동",서초동 1658-4,2.8,5,10,37.4925815,127.01480929999998,851.0764054179297,19.02
엔제리너스 강남역사거리점,커피전문점,역삼동 824-19,2.3,7,12,37.498443,127.03051780000001,1587.4894774650281,19.0
동우춘천닭갈비,닭요리,양재동 8-59,3.3,4,5,37.483187799999996,127.03840590000001,1608.2306599257752,18.93
새마을식당 강남역점,"육류,고기",역삼동 831-32,1.9,10,21,37.4944037,127.03063329999999,1243.6151065370293,18.91
도피오 한전아트센터점,커피전문점,서초동 1355,2.7,6,0,37.4856225,127.02805559999999,659.4994129409993,18.9
파리바게뜨 강남대로점,"제과,베이커리",서초동 1361-8,2.7,6,0,37.486768100000006,127.03249479999998,1044.3845197433393,18.9
담소소사골순대육개장 서초2호점,순대,서초동 1337-17,2.5,6,8,37.4925425,127.0292585,1013.3493687275533,18.8
김밥까페,분식,서초동 1658-6,1.9,11,4,37.492310700000004,127.01485579999999,824.7905262522393,18.75
맛닭꼬 예술의전당점,닭요리,서초동 1451-2,3.3,4,3,37.4831709,127.0122203,831.7482213461603,18.69
커피빈 서초우성점,커피전문점,서초동 1338-11,3.3,4,3,37.49124860000001,127.03025,997.2582536824173,18.69
깐부치킨 예술의전당점,치킨,서초동 1449-1,3.3,4,3,37.481478499999994,127.0150003,749.1181188763634,18.69
투썸플레이스 서초역점,커피전문점,서초동 1553-5,3.3,4,3,37.4919821,127.00960859999999,1150.2711057981176,18.69
