name,category,address,score,eval_cnt,review_cnt
연안식당 양재역점,"해물,생선",도곡동 952-9,2.6,7,22
이올로화덕피자,피자,서초동 1362,3.9,17,20
사람사는 고깃집 김일도 서초구청점,"육류,고기",서초동 1364-44,3.3,4,12
스타벅스 서초구청점,커피전문점,서초동 1365-23,4.8,4,7
바스버거 양재점,햄버거,서초동 1359-22,3.3,4,15
모범떡볶이1976 양재점,떡볶이,서초동 1363-6,3.9,8,18
행복한스시 양재역점,"초밥,롤",서초동 1366-15,2.7,7,11
신수사,일식집,서초동 1366-18,4.6,5,4
방파제횟집,회,도곡동 954-18,3.8,10,14
도화,중화요리,서초동 1364-28,3.6,7,5
전주옛날집,한정식,서울 서초구 서초동 1357-67,3.6,5,7
KFC 양재동점,패스트푸드,양재동 12-3,1.8,24,5
홍팥집 양재점,디저트카페,도곡동 950-5,4.4,5,25
왕삼돈 양재점,"육류,고기",서초동 1366-13,3.1,10,5
교촌치킨 서초1호점,치킨,서초동 1357-56,2.3,12,3
두배족발,"족발,보쌈",서초동 1364-39,3.0,5,17
에그드랍 양재역점,샌드위치,도곡동 957-14,4.8,5,9
김영자나주곰탕 서초직영점,곰탕,서초동 1357-70,3.7,3,8
바나프레소 양재역점,카페,도곡동 953-1,3.0,2,4
설빙 양재역점,디저트카페,서초동 1359-23,4.0,3,3
곱창왕김형제,"곱창,막창",도곡동 953-1,3.9,10,49
어부참치,참치회,서초동 1364-61,4.3,4,3
명선헌 서초점,한정식,서초동 1344-12,3.2,5,1
훔친대게,"게,대게",서초동 1364-46,4.6,19,15
양재순대,순대,서초동 1364-49,3.7,9,22
써브웨이 양재점,샌드위치,도곡동 957-13,1.6,43,10
명가무안뻘낙지,"해물,생선",서초동 1365-7,4.0,6,4
해오름자연산횟집,회,서초동 1358-5,3.5,5,1
동경규동 양재점,일식집,서초동 1365-22,4.1,7,38
동인동 양재점,갈비,서초동 1361,3.7,3,20
청정횟집,회,서초동 1363-25,3.0,3,8
보물섬,"호프,요리주점",양재동 11-2,5.0,2,30
미스터피자 양재점,피자,도곡동 952-10,1.0,1,10
라임,와인바,서초동 1362-23,0.0,0,10
고양이부엌 양재구청점,떡볶이,서초동 1360-3,3.9,8,31
커피빈 서초뱅뱅사거리점,커피전문점,서초동 1361-2,4.0,4,2
에머이 양재역점,베트남음식,도곡동 953-3,2.3,12,87
불막열삼 양재역점,"곱창,막창",도곡동 951-2,3.5,2,13
이백 양재역점,"해물,생선",서초동 1364-40,4.0,5,19
제주산 하루방뒷고기순대국,순대,도곡동 954-17,2.9,8,15
비베레,"호프,요리주점",서초동 1360-34,5.0,1,29
전사랑 서초본점,"호프,요리주점",서초동 1359-9,2.5,4,23
김명자굴국밥 서초점,"굴,전복",서초동 1365-4,3.5,8,12
해랑 양재직영점,"해물,생선",서초동 1364-2,3.0,1,9
호두까끼형제,"제과,베이커리",도곡동 954-10,4.0,2,40
호텔페이토 강남 카페포즈,뷔페,서초동 1361-10,2.5,2,9
나살던고향,한식,서초동 1363-5,3.0,2,8
파브리끄 양재점,카페,서초동 1359-14,3.3,4,36
아리노마마,일본식주점,도곡동 957-11,3.6,22,30
노랑통닭 양재역점,치킨,서초동 1363-3,3.8,5,7
옛날통닭&닭강정 서초점,치킨,서초동 1365-22,4.0,4,10
쿵푸훠궈,샤브샤브,서초동 1360-48,4.7,12,14
문선생해천탕,해산물,서초동 1357-69,4.5,6,5
라무라쿠,"육류,고기",서초동 1364-25,4.6,10,7
하츠코이오카,일본식주점,도곡동 953-1,3.9,12,8
투썸플레이스 뱅뱅사거리점,커피전문점,서초동 1361-5,2.4,15,0
장수정육식당,"육류,고기",서초동 1366-3,3.0,3,3
보글이 생태탕왕코다리 서초구청점,"해물,생선",서초동 1364-29,4.7,3,26
별난낙지,"해물,생선",도곡동 957-4,2.0,13,16
깐부치킨 양재역점,치킨,서초동 1366-7,1.6,8,11
파스쿠찌 양재역점,커피전문점,도곡동 953,3.0,2,3
치킨처럼 양재역점,치킨,서초동 1366-15,4.0,1,3
근이네조개전골,조개,도곡동 957-11,1.0,1,20
불로삼계백숙,삼계탕,서초동 1364-40,4.5,4,2
한촌설렁탕 서초구청점,설렁탕,서초동 1359-13,2.2,6,8
조우,퓨전일식,도곡동 954-13,3.9,14,4
하루나베,일식,서초동 1360-45,3.2,5,15
신전떡볶이 도곡점,떡볶이,도곡동 950-8,3.0,6,5
껄떡돼지 양재역점,"육류,고기",서초동 1365-6,4.0,5,10
빽다방 양재역점,커피전문점,도곡동 957-11,3.8,6,4
진배족발 양재역점,"족발,보쌈",도곡동 953-1,3.3,3,13
까렌다쉬,테마카페,서초동 1348-10,3.0,2,9
짱수양꼬치,양꼬치,서초동 1364-39,3.3,3,16
앙뉴,카페,도곡동 954-3,3.5,2,9
샐러디 양재역점,패스트푸드,서초동 1361-3,3.5,2,4
남원종가집 추어탕,추어,도곡동 952-2,4.7,3,6
돈스라,"돈까스,우동",서초동 1363-25,3.0,4,17
생생짬뽕,중화요리,서초동 1357-32,3.3,3,16
메콩타이 서초구청점,태국음식,서초동 1355-17,3.1,13,8
커피에스페란토,커피전문점,도곡동 954-23,4.0,2,11
파리 서티세븐,카페,서초동 1362-21,4.6,5,7
서초육촌,"육류,고기",서초동 1358-4,5.0,2,4
